"Y"_City,_Arkansas 34.735104 -94.073257
Abbot_Village,_Maine 45.1976844 -69.458819
Abbotsford,_Wisconsin 44.946356 -90.315969
Abbott,_New_Mexico 36.3055851 -104.2588701
Abbyville,_Kansas 37.9708467 -98.2042299
Aberdeen,_Mississippi 33.8251139 -88.5436553
Aberdeen,_North_Carolina 35.131547 -79.4294789
Aberdeen,_Ohio 38.6556296 -83.7610323
Aberdeen,_South_Dakota 45.4646985 -98.4864829
Aberdeen,_Washington 46.9753708 -123.8157218
Abilene,_Texas 32.4487364 -99.7331439
Abingdon,_Virginia 36.7098335 -81.9773482
Abiquiu,_New_Mexico 36.207241 -106.3186397
Aboite,_Indiana 41.000833 -85.318056
Abrams,_Wisconsin 44.7795611 -88.0598546
Ackerman,_Mississippi 33.3101243 -89.1728434
Acme,_Michigan 44.7719461 -85.5014607
Acme,_Wyoming 44.9105275 -106.9850706
Acorn,_Arkansas 34.6428825 -94.2010437
Ada,_Minnesota 47.299689 -96.5153463
Ada,_Oklahoma 34.774531 -96.6783449
Adamsville,_Michigan 41.783886 -85.993957
Addicks,_Texas 29.8194608 -95.6352801
Addison,_Vermont 44.0886671 -73.302622
Adin,_California 41.1941359 -120.9442135
Adler_Creek,_New_York 43.4234022 -75.2279451
Admire,_Kansas 38.6411197 -96.1030491
Adrian,_Michigan 41.8975471 -84.0371659
Advance,_Missouri 37.1044958 -89.9106494
Aguila,_Arizona 33.9428069 -113.1740805
Aiken,_South_Carolina 33.5604168 -81.7195533
Ainsworth,_Iowa 41.2875208 -91.5515505
Aitkin,_Minnesota 46.5330129 -93.7102493
Akeley,_Minnesota 47.004125 -94.7269509
Akron,_Ohio 41.0814447 -81.5190053
Alamogordo,_New_Mexico 32.8995325 -105.960265
Alamosa,_Colorado 37.4694491 -105.8700214
Alanson,_Michigan 45.4441778 -84.7867115
Alba,_Texas 32.7929034 -95.6344036
Albany,_California 37.88687 -122.2977475
Albany,_Georgia 31.5785074 -84.155741
Albany,_New_York 42.6525793 -73.7562317
Albany,_Ohio 39.2275735 -82.2023695
Albany,_Oregon 44.6365107 -123.1059282
Albany,_Prince_Edward_Island 46.286052 -63.643834
Albany,_Texas 32.723452 -99.2973005
Albert_Lea,_Minnesota 43.6478006 -93.3686555
Albertville,_Alabama 34.2675937 -86.2088669
Albia,_Iowa 41.0300078 -92.811307
Albion,_California 39.2232406 -123.7680598
Albion,_Michigan 42.243097 -84.7530304
Albion,_Nebraska 41.6918434 -98.0012091
Albion,_Rhode_Island 41.95121 -71.4545037
Albuquerque,_New_Mexico 35.0853336 -106.6055534
Alburg,_Vermont 44.9750399 -73.3001312
Aldine,_Texas 29.932445 -95.3802149
Aledo,_Texas 32.6959643 -97.6022471
Alexander,_North_Dakota 47.8430756 -103.642698
Alexandria,_Louisiana 31.3112936 -92.4451371
Alexandria,_Minnesota 45.8848164 -95.3776663
Alexandria,_Missouri 40.3594887 -91.455432
Alfred,_Maine 43.4764994 -70.7161687
Alger,_Michigan 44.1256257 -84.1208666
Algona,_Iowa 43.0699663 -94.233019
Alhambra,_California 34.095287 -118.1270146
Alice,_Texas 27.7522487 -98.0697249
Aliceville,_Alabama 33.1295681 -88.1514166
Allegan,_Michigan 42.5291989 -85.8553031
Alleghany,_New_York 42.0900647 -78.4941887
Allen_Park,_Michigan 42.2575385 -83.2110375
Allendale,_South_Carolina 33.0079345 -81.3084405
Allendorf,_Iowa 43.4146902 -95.6433454
Allens_Fresh,_Maryland 38.4140135 -76.9405275
Allenton,_Rhode_Island 41.5439902 -71.4678357
Allenton,_Wisconsin 43.4211674 -88.3414955
Allentown,_New_Jersey 40.1778886 -74.5834887
Allentown,_Pennsylvania 40.6084305 -75.4901833
Alliance,_Nebraska 42.0930235 -102.8702006
Allouez,_Wisconsin 44.4774923 -88.0162144
Alma,_Arkansas 35.4778653 -94.2218752
Alma,_Georgia 31.5393701 -82.4623557
Alma,_Nebraska 40.0975108 -99.3620427
Alma,_Wisconsin 44.3199654 -91.9148839
Alma_Center,_Wisconsin 44.4371839 -90.911258
Almond,_North_Carolina 35.3698153 -83.565164
Alpena,_Arkansas 36.2947919 -93.2921262
Alpena,_Michigan 45.0616794 -83.4327528
Alpha,_New_Jersey 40.6670439 -75.1573972
Alpine,_Arizona 33.8483212 -109.1432936
Alpine,_Texas 30.3584919 -103.6610115
Alpine,_Wyoming 43.1610946 -111.0164822
Alsask,_Saskatchewan 51.3774545 -109.9968924
Alstead,_New_Hampshire 43.149481 -72.3614201
Altamont,_Kansas 37.1903448 -95.2971928
Altamont,_South_Dakota 44.8396868 -96.6895039
Altamonte_Springs,_Florida 28.6611089 -81.3656242
Alto,_Michigan 42.8550181 -85.3826401
Alto,_Texas 31.6504546 -95.0727175
Alton,_California 40.545834 -124.140076
Alton,_Illinois 38.8906038 -90.1842764
Alton,_Iowa 42.9874869 -96.0105735
Alton,_Maine 45.0314546 -68.7286452
Alton,_Missouri 36.6942252 -91.3993039
Alton,_New_Hampshire 43.4910481 -71.229575
Alton,_New_York 43.2111765 -76.9805231
Alton,_Oklahoma 26.2953522 -98.3355909
Altoona,_Kansas 37.5239434 -95.6613696
Alturas,_California 41.4871146 -120.5424555
Altus,_Oklahoma 34.637765 -99.3340442
Alva,_Oklahoma 36.8050308 -98.6664737
Alvarodo,_Texas 32.4065312 -97.2116782
Alvin,_Texas 29.4238472 -95.2441009
Amargosa_Valley,_Nevada 36.6438422 -116.4003253
Amarillo,_Texas 35.2219971 -101.8312969
Amboy,_California 34.5577721 -115.7444411
Amenia,_New_York 41.8492599 -73.5567918
American_Falls,_Idaho 42.7860226 -112.8544377
Ames,_Iowa 42.0307812 -93.6319131
Amesbury,_Massachusetts 42.8583925 -70.9300376
Amherst,_Nova_Scotia 45.816667 -64.2167206
Amherst,_Virginia 37.5851412 -79.0514134
Amherst_Junction,_Wisconsin 44.4688627 -89.3126138
Amity_Hall,_Pennsylvania 40.4243895 -77.0116447
Amory,_Mississippi 33.9842768 -88.488099
Amsterdam,_New_York 42.9377453 -74.190356
Anaconda,_Montana 46.1262998 -112.9478359
Anacostia,_District_of_Columbia 38.8665013 -76.9838642
Anadarko,_Oklahoma 35.072562 -98.2436625
Anamoose,_North_Dakota 47.8825008 -100.241246
Anamosa,_Iowa 42.1083371 -91.2851594
Andalusia,_Alabama 31.3085039 -86.4832913
Anderson,_Missouri 36.650627 -94.44355
Anderson,_South_Carolina 34.5034394 -82.6501332
Andover,_Connecticut 41.7373211 -72.37036
Andrews,_Texas 32.3187158 -102.5457155
Angleton,_Texas 29.16941 -95.4318847
Angola,_Indiana 41.6347726 -84.9994088
Aniwa,_Wisconsin 45.0085802 -89.2142801
Anlauf,_Oregon 43.7109543 -123.2236967
Ann_Arbor,_Michigan 42.2808256 -83.7430378
Anna,_Illinois 37.4603274 -89.2470282
Annapolis,_Maryland 38.9784453 -76.4921829
Annapolis_Royal,_Nova_Scotia 44.742226 -65.515822
Anoka,_Minnesota 45.1977428 -93.3871758
Ansley,_Nebraska 41.287471 -99.3817052
Anson,_Texas 32.7565042 -99.896207
Anthoston,_Kentucky 37.7594876 -87.5383429
Antigo,_Wisconsin 45.140245 -89.1523353
Antigonish,_Nova_Scotia 45.6226605 -61.9928025
Antlers,_Oklahoma 34.231212 -95.6202476
Apopka,_Florida 28.6934076 -81.5322149
Appleton,_Minnesota 45.1991667 -96.0244443
Appleton,_Wisconsin 44.2619309 -88.4153847
Appling,_Georgia 33.54609 -82.3163154
Appomattox,_Virginia 37.3570894 -78.8252911
Arab,_Alabama 34.3181497 -86.4958219
Arapahoe,_Nebraska 40.3062583 -99.8977954
Arbutus,_Maryland 39.2545512 -76.6999702
Arcadia,_Florida 27.2158826 -81.8584164
Arcadia,_Wisconsin 44.2527405 -91.5015432
Arco,_Idaho 43.6365693 -113.3002844
Ardmore,_Oklahoma 34.1742611 -97.1436254
Argentia,_Newfoundland 47.302052 -53.986824
Arkansas_City,_Kansas 37.0619736 -97.0383712
Arlington,_Kansas 37.8966808 -98.1786739
Arlington,_South_Dakota 44.3644133 -97.1331212
Arlington,_Tennessee 35.2961973 -89.661469
Arlington,_Texas 32.735687 -97.1080656
Arlington,_Wisconsin 43.3380439 -89.3803956
Armagh,_Pennsylvania 40.4536813 -79.0319741
Armington,_Montana 47.3663543 -110.9035659
Armstrong,_Iowa 43.3960697 -94.4783082
Armstrong_Creek,_Wisconsin 45.6582937 -88.44623
Arnett,_Oklahoma 36.1350421 -99.7748383
Aroya,_Colorado 38.8541641 -103.1254894
Arroyo_Grande,_California 35.1185868 -120.5907252
Artesia,_California 33.8658484 -118.0831212
Artesia,_New_Mexico 32.8423345 -104.4032962
Arthur,_Michigan 43.9528962 -84.6688348
Arthur,_Nebraska 41.5716538 -101.691565
Ascutney,_Vermont 43.4012001 -72.4062772
Ash_Flat,_Arkansas 36.2239566 -91.6084751
Ash_Fork,_Arizona 35.2250114 -112.4840675
Asheboro,_North_Carolina 35.7079146 -79.8136446
Asher,_Oklahoma 34.9895233 -96.9236322
Asheville,_North_Carolina 35.5950581 -82.5514869
Ashkum,_Illinois 40.8803113 -87.9550405
Ashland,_Kentucky 38.4784144 -82.6379387
Ashland,_Maine 46.6609983 -68.3895277
Ashland,_New_Hampshire 43.695318 -71.6306317
Ashland,_Ohio 40.8686675 -82.3182178
Ashland,_Wisconsin 46.5924428 -90.8837982
Ashtabula,_Ohio 41.8650534 -80.7898089
Ashwaubenon,_Wisconsin 44.4822137 -88.0701033
Aspen,_Colorado 39.1910983 -106.8175387
Aspen_Grove,_British_Columbia 49.930292 -120.629654
Astoria,_Oregon 46.1878841 -123.8312534
Atchison,_Kansas 39.5630521 -95.1216356
Athens,_Alabama 34.8028661 -86.9716741
Athens,_Georgia 33.9519347 -83.357567
Athens,_Michigan 42.0886576 -85.2347051
Athens,_Ohio 39.3292396 -82.1012554
Athens,_Tennessee 35.4428512 -84.5929898
Athens,_Texas 32.2048735 -95.8555207
Atlanta,_Georgia 33.7489954 -84.3879824
Atlanta,_Michigan 45.0047306 -84.1438927
Atlanta,_Texas 33.1137419 -94.1643537
Atlantic,_Iowa 41.4036007 -95.0138776
Atlantic_City,_New_Jersey 39.3642834 -74.4229266
Atlas,_Illinois 39.5139357 -90.9695778
Atmore,_Alabama 31.0237921 -87.4938708
Atoka,_Oklahoma 34.3859257 -96.1283252
Atomic_City,_Idaho 43.4449093 -112.8127699
Attica,_Indiana 40.2942039 -87.2488988
Attica,_Ohio 41.0647777 -82.887686
Attleboro_Falls,_Massachusetts 41.9717537 -71.3128854
Atwood,_Kansas 39.806668 -101.0421012
Auburn,_California 38.8965654 -121.0768901
Auburn,_Maine 44.0978509 -70.2311655
Auburn,_Massachusetts 42.1945385 -71.8356271
Auburn,_Nebraska 40.3947236 -95.8322191
Auburn,_New_York 42.9317335 -76.5660529
Auburn,_Washington 47.3073228 -122.2284532
Auburn_Hills,_Michigan 42.6875323 -83.2341028
