County	Obama	Clinton
Adams	15091	14077
Allegheny	352687	363017
Armstrong	9045	6849
Beaver	37055	30225
Bedford	4788	3613
Berks	83011	75169
Blair	16276	13093
Bradford	8624	6263
Bucks	160521	165861
Butler	28550	26834
Cambria	24249	17348
Cameron	724	469
Carbon	11580	8917
Centre	34176	36555
Chester	124311	140188
Clarion	5056	4256
Clearfield	11121	7700
Clinton	5734	4553
Columbia	10937	8502
Crawford	13883	10215
Cumberland	44367	44282
Dauphin	64965	64287
Delaware	171792	169423
Elk	5463	3637
Erie	68036	54820
Fayette	21971	17826
Forest	896	626
Franklin	18995	17322
Fulton	1310	904
Greene	5852	4157
Huntingdon	5409	4487
Indiana	14473	11468
Jefferson	4787	3437
Juniata	2547	1810
Lackawanna	61838	51593
Lancaster	88481	90066
Lawrence	17513	13933
Lebanon	19900	17860
Lehigh	78283	74777
Luzerne	64307	52092
Lycoming	15203	12926
McKean	5297	3802
Mercer	24232	17631
Mifflin	4273	3563
Monroe	35221	31930
Montgomery	233356	247724
Montour	3053	2851
Northampton	67606	65936
Northumberland	13072	9184
Perry	5685	4081
Philadelphia	588806	562853
Pike	10210	9247
Potter	1897	1300
Schuylkill	24546	16724
Snyder	4687	3991
Somerset	9436	7367
Sullivan	1034	756
Susquehanna	6935	5065
Tioga	5357	3642
Union	6109	6138
Venango	7945	5889
Warren	6995	4828
Washington	40345	34436
Wayne	8396	6398
Westmoreland	63722	59506
Wyoming	5061	3573
York	73191	67428
