@relation mytest

@attribute age {<=33,<=49&>33,<=87&>49}
@attribute job {blue-collar,entrepreneur,management,technician,self-employed,admin.,student,services,unemployed,housemaid,retired,unknown}
@attribute marital {single,married,divorced}
@attribute education {primary,secondary,tertiary,unknown}
@attribute default {no,yes}
@attribute balance {Very-Low,Low,Medium,High}
@attribute housing {yes,no}
@attribute loan {no,yes}
@attribute contact {unknown,cellular,telephone}
@attribute month {may,feb,jun,aug,jul,sep,apr,jan,nov,mar,oct,dec}
@attribute campaign numeric
@attribute poutcome {unknown,success,failure,other}
@attribute y {no,yes}

@data
<=33,blue-collar,single,primary,no,Very-Low,yes,no,unknown,may,1,unknown,no
<=33,entrepreneur,single,primary,yes,Very-Low,yes,yes,cellular,feb,1,unknown,no
<=33,blue-collar,single,secondary,no,Very-Low,yes,no,unknown,jun,3,unknown,no
<=33,management,married,tertiary,yes,Very-Low,no,no,cellular,aug,4,unknown,no
<=33,technician,married,secondary,no,Very-Low,no,no,cellular,may,3,unknown,no
<=33,technician,married,tertiary,no,Very-Low,yes,yes,cellular,jul,3,unknown,no
<=33,self-employed,married,secondary,no,Very-Low,yes,no,unknown,may,2,unknown,no
<=33,blue-collar,married,primary,no,Very-Low,no,no,unknown,sep,1,unknown,no
<=33,blue-collar,married,secondary,no,Very-Low,yes,no,unknown,jun,1,unknown,no
<=33,admin.,single,secondary,no,Very-Low,no,no,cellular,jul,1,unknown,no
<=33,blue-collar,single,secondary,no,Very-Low,yes,yes,cellular,jul,6,unknown,no
<=33,student,married,tertiary,yes,Very-Low,yes,no,cellular,may,2,unknown,no
<=33,services,single,secondary,no,Very-Low,no,no,cellular,jul,2,unknown,no
<=33,technician,single,secondary,yes,Very-Low,yes,no,unknown,jun,7,unknown,no
<=33,blue-collar,single,secondary,no,Very-Low,no,yes,unknown,jul,3,unknown,no
<=33,blue-collar,married,secondary,no,Very-Low,yes,no,unknown,may,3,unknown,no
<=33,blue-collar,married,secondary,no,Very-Low,yes,no,unknown,may,1,unknown,no
<=33,blue-collar,single,primary,no,Very-Low,yes,no,unknown,may,4,unknown,no
<=33,management,single,tertiary,no,Very-Low,yes,no,cellular,aug,15,unknown,no
<=33,self-employed,married,secondary,no,Very-Low,yes,no,unknown,may,3,unknown,no
<=33,blue-collar,single,primary,no,Very-Low,yes,no,unknown,may,5,unknown,no
<=33,services,married,secondary,no,Very-Low,yes,yes,cellular,apr,5,unknown,no
<=33,services,single,secondary,no,Very-Low,no,yes,cellular,jul,5,unknown,no
<=33,blue-collar,married,secondary,yes,Very-Low,yes,no,cellular,may,2,unknown,no
<=33,admin.,single,secondary,no,Very-Low,yes,no,cellular,may,1,unknown,no
<=33,technician,divorced,tertiary,no,Very-Low,yes,no,unknown,may,1,unknown,no
<=33,admin.,married,secondary,no,Very-Low,yes,no,cellular,jan,1,success,no
<=33,services,single,secondary,no,Very-Low,no,no,cellular,jul,1,unknown,no
<=33,blue-collar,married,secondary,no,Very-Low,yes,no,cellular,may,5,unknown,no
<=33,technician,single,secondary,no,Very-Low,yes,no,unknown,jun,2,unknown,no
<=33,blue-collar,married,secondary,no,Very-Low,yes,yes,unknown,may,3,unknown,no
<=33,management,married,tertiary,no,Very-Low,yes,no,cellular,aug,4,unknown,no
<=33,blue-collar,married,primary,no,Very-Low,no,no,cellular,jul,6,unknown,no
<=33,blue-collar,single,secondary,no,Very-Low,yes,no,unknown,may,2,unknown,no
<=33,admin.,single,tertiary,no,Very-Low,no,yes,unknown,jul,1,unknown,no
<=33,admin.,single,secondary,no,Very-Low,yes,yes,cellular,jul,1,unknown,no
<=33,unemployed,single,secondary,yes,Very-Low,yes,no,unknown,may,1,unknown,no
<=33,unemployed,single,secondary,no,Very-Low,yes,no,unknown,may,3,unknown,no
<=33,admin.,single,secondary,no,Very-Low,yes,no,unknown,may,2,unknown,no
<=33,technician,single,secondary,no,Very-Low,yes,no,unknown,may,1,unknown,no
<=33,services,married,secondary,no,Very-Low,yes,no,unknown,may,5,unknown,no
<=33,blue-collar,married,secondary,no,Very-Low,yes,no,cellular,jul,3,unknown,no
<=33,admin.,single,secondary,no,Very-Low,yes,no,telephone,may,8,unknown,no
<=33,blue-collar,married,secondary,no,Very-Low,yes,no,cellular,jul,1,unknown,no
<=33,blue-collar,married,secondary,no,Very-Low,no,yes,cellular,jul,2,unknown,no
<=33,blue-collar,single,primary,no,Very-Low,yes,no,unknown,may,2,unknown,no
<=33,admin.,divorced,secondary,yes,Very-Low,yes,no,unknown,may,3,unknown,no
<=33,management,single,secondary,no,Very-Low,yes,no,unknown,may,1,unknown,no
<=33,management,single,secondary,no,Very-Low,yes,no,unknown,may,3,unknown,no
<=33,technician,single,secondary,no,Very-Low,yes,yes,unknown,jun,1,unknown,no
<=33,blue-collar,married,secondary,no,Very-Low,yes,no,cellular,may,2,failure,no
<=33,services,single,secondary,no,Very-Low,yes,no,cellular,apr,1,unknown,no
<=33,technician,married,tertiary,no,Very-Low,yes,no,cellular,jul,3,unknown,no
<=33,admin.,married,secondary,yes,Very-Low,yes,no,cellular,jul,3,unknown,no
<=33,services,married,secondary,no,Very-Low,yes,no,unknown,jun,10,unknown,no
<=33,blue-collar,married,primary,yes,Very-Low,yes,no,unknown,jun,1,unknown,no
<=33,management,single,tertiary,no,Very-Low,no,no,cellular,aug,2,unknown,no
<=33,blue-collar,single,secondary,no,Very-Low,no,no,cellular,may,2,unknown,no
<=33,blue-collar,divorced,secondary,no,Very-Low,yes,no,unknown,may,5,unknown,no
<=33,services,single,secondary,no,Very-Low,yes,yes,unknown,may,2,unknown,no
<=33,blue-collar,married,secondary,no,Very-Low,yes,no,cellular,apr,1,unknown,no
<=33,services,married,secondary,no,Very-Low,yes,no,unknown,jun,2,unknown,no
<=33,blue-collar,single,primary,no,Very-Low,no,no,unknown,may,3,unknown,no
<=33,blue-collar,single,primary,no,Very-Low,yes,no,cellular,may,2,unknown,no
<=33,management,single,tertiary,no,Very-Low,yes,no,telephone,feb,2,unknown,no
<=33,services,single,secondary,no,Very-Low,no,no,cellular,jul,1,unknown,no
<=33,blue-collar,married,secondary,no,Very-Low,yes,yes,unknown,may,2,unknown,no
<=33,admin.,divorced,secondary,yes,Very-Low,yes,no,unknown,may,5,unknown,no
<=33,blue-collar,divorced,secondary,no,Very-Low,yes,no,unknown,may,1,unknown,no
<=33,technician,divorced,secondary,no,Very-Low,yes,no,unknown,jun,1,unknown,no
<=33,services,married,primary,no,Very-Low,no,no,unknown,jul,1,unknown,no
<=33,blue-collar,married,primary,no,Very-Low,yes,yes,unknown,may,6,unknown,no
<=33,blue-collar,married,secondary,no,Very-Low,yes,yes,unknown,may,1,unknown,no
<=33,services,single,secondary,yes,Very-Low,yes,no,cellular,may,2,unknown,no
<=33,technician,divorced,secondary,yes,Very-Low,no,yes,unknown,may,1,unknown,no
<=33,management,married,secondary,no,Very-Low,yes,yes,cellular,may,1,failure,no
<=33,technician,single,tertiary,no,Very-Low,no,yes,cellular,aug,2,unknown,no
<=33,blue-collar,married,unknown,no,Very-Low,yes,no,cellular,jul,2,unknown,no
<=33,entrepreneur,married,secondary,no,Very-Low,yes,yes,unknown,may,3,unknown,no
<=33,technician,single,secondary,no,Very-Low,no,yes,unknown,jul,1,unknown,no
<=33,services,married,secondary,no,Very-Low,yes,yes,cellular,jul,1,unknown,no
<=33,management,single,tertiary,no,Very-Low,yes,no,unknown,may,1,unknown,no
<=33,self-employed,married,secondary,no,Very-Low,yes,no,unknown,may,2,unknown,no
<=33,management,divorced,tertiary,yes,Very-Low,no,yes,unknown,may,2,unknown,no
<=33,blue-collar,married,unknown,no,Very-Low,yes,no,cellular,feb,3,failure,no
<=33,admin.,single,secondary,no,Very-Low,no,yes,cellular,jul,1,unknown,no
