YEAR,ST_CASE,VEH_NO,A_BODY,A_IMP1,A_IMP2,A_VROLL,A_LIC_S,A_LIC_C,A_CDL_S,A_MC_L_S,A_SPVEH,A_SBUS,A_MOD_YR,A_DRDIS,A_DRDRO
2015,10001,1,2,2,0,2,1,1,2,4,2,3,2003,2,2
2015,10002,1,1,4,0,1,1,1,1,4,1,3,2006,2,2
2015,10003,1,1,2,0,1,1,1,2,4,2,3,2008,2,2
2015,10004,1,2,2,0,2,1,1,2,4,2,3,2005,2,2
2015,10005,1,1,3,0,1,1,1,2,4,2,3,2006,2,2
2015,10005,2,6,2,0,2,1,1,1,4,2,3,2015,2,2
2015,10006,1,2,1,0,1,1,1,2,4,2,3,2006,2,2
2015,10007,1,2,2,0,2,1,1,2,4,2,3,2002,2,2
2015,10008,1,9,2,0,2,3,3,3,4,2,3,9999,2,2
2015,10009,1,2,2,0,1,1,1,1,4,2,3,2000,2,2
2015,10010,1,1,2,0,2,1,1,2,4,2,3,2004,2,2
2015,10010,2,2,2,0,2,1,1,2,4,2,3,2003,2,2
2015,10011,1,1,2,0,2,1,1,2,4,2,3,2005,2,2
2015,10011,2,3,3,0,1,1,1,2,4,2,3,2002,2,2
2015,10012,1,3,2,0,2,1,1,2,4,2,3,1997,2,1
2015,10012,2,2,2,0,2,1,1,2,4,2,3,2003,2,2
2015,10012,3,1,2,0,2,1,1,2,4,2,3,2010,2,2
2015,10013,1,1,1,0,1,1,1,2,4,1,3,2007,2,2
2015,10014,1,3,1,0,1,1,1,2,4,2,3,1999,2,2
2015,10015,1,2,1,0,1,2,2,2,4,1,3,2004,2,2
2015,10016,1,2,3,0,2,1,1,2,4,2,3,1999,2,2
2015,10016,2,1,2,0,2,1,1,2,4,2,3,1998,2,2
2015,10017,1,1,2,0,2,1,1,2,4,2,3,2008,2,2
2015,10018,1,4,2,0,2,2,2,2,4,2,3,1992,2,2
2015,10019,1,3,1,0,1,1,1,2,4,1,3,2002,2,2
2015,10020,1,1,3,0,2,1,1,2,4,2,3,2006,2,2
2015,10020,2,3,2,0,2,1,1,2,4,2,3,1993,2,2
2015,10021,1,2,2,0,2,1,1,2,4,2,3,2014,1,2
2015,10021,2,3,4,0,2,1,1,2,4,2,3,2007,2,2
2015,10022,1,2,4,0,1,1,1,1,4,2,3,2002,2,1
2015,10023,1,3,5,0,2,1,1,2,4,1,3,2003,2,2
2015,10024,1,1,2,0,2,1,1,2,4,2,3,2003,2,1
2015,10025,1,1,2,0,2,2,2,2,4,1,3,2007,2,2
2015,10026,1,1,7,0,1,2,2,2,4,1,3,2002,2,2
2015,10027,1,1,5,0,2,1,1,2,4,2,3,2014,2,2
2015,10027,2,2,2,0,1,1,1,2,4,2,3,2012,2,2
2015,10028,1,3,1,0,1,1,1,2,4,2,3,2001,2,2
2015,10029,1,2,5,0,2,1,1,2,4,1,3,2005,2,2
2015,10030,1,2,2,0,1,1,1,2,4,1,3,2014,2,2
2015,10030,2,1,2,0,2,1,1,2,4,2,3,2014,2,2
2015,10031,1,3,2,0,2,1,1,2,4,2,3,2003,1,2
2015,10032,1,1,2,0,1,1,1,2,4,1,3,2006,2,2
2015,10033,1,1,2,0,2,2,2,2,4,2,3,1998,2,2
2015,10034,1,2,2,0,2,1,1,2,4,2,3,2007,2,2
2015,10034,2,4,4,0,2,1,1,2,4,2,3,2008,2,2
2015,10034,3,2,3,0,2,1,1,2,4,2,3,2003,2,2
2015,10034,4,1,4,0,2,1,1,2,4,2,3,2007,2,2
2015,10034,5,1,4,0,2,1,1,2,4,2,3,2009,2,2
2015,10034,6,2,4,0,2,1,1,2,4,2,3,2008,2,2
2015,10035,1,2,2,0,2,2,2,2,4,2,3,9999,2,2
2015,10035,2,1,5,0,2,1,1,2,4,2,3,2008,2,2
2015,10036,1,3,2,0,2,2,2,2,4,2,3,1992,2,2
2015,10036,2,2,2,0,1,1,1,2,4,2,3,2012,2,2
2015,10037,1,1,2,0,2,1,1,1,4,2,3,2007,2,2
2015,10038,1,9,2,0,2,1,1,2,4,2,3,2012,2,2
2015,10039,1,3,2,0,2,1,1,2,4,2,3,2003,2,2
2015,10040,1,1,2,0,2,1,1,2,4,2,3,2013,1,2
2015,10041,1,7,2,0,2,4,1,2,1,2,3,2001,2,2
2015,10042,1,1,2,0,2,1,1,2,4,2,3,2006,2,2
2015,10043,1,2,2,0,2,1,1,1,4,2,3,1994,2,2
2015,10044,1,1,2,0,2,1,1,2,4,2,3,2006,2,2
2015,10045,1,2,2,0,2,1,1,2,4,2,3,1999,2,2
2015,10046,1,1,3,0,2,1,1,2,4,2,3,2000,2,2
2015,10047,1,1,2,0,2,1,1,2,4,1,3,2003,2,2
2015,10048,1,1,5,0,2,1,1,2,4,2,3,2013,2,2
2015,10049,1,4,2,0,2,1,1,2,4,2,3,2003,2,2
2015,10049,2,7,2,0,2,4,3,3,3,2,3,1986,2,2
2015,10050,1,6,2,0,2,1,1,1,4,2,3,2009,2,2
2015,10051,1,1,3,0,2,1,1,2,4,2,3,2002,2,2
2015,10051,2,2,2,0,2,1,1,2,4,2,3,2006,2,2
2015,10052,1,3,2,0,2,1,1,2,4,2,3,2011,2,2
2015,10053,1,1,2,0,1,1,1,2,4,2,3,2010,2,2
2015,10054,1,7,4,0,2,4,1,2,1,2,3,9999,2,2
2015,10054,2,2,2,0,2,1,1,2,4,2,3,2002,2,2
2015,10055,1,9,2,0,2,3,3,3,4,2,3,9999,2,2
2015,10056,1,1,2,0,1,1,1,2,4,2,3,2015,2,2
2015,10057,1,6,4,0,2,1,1,1,4,2,3,1995,2,2
2015,10057,2,1,2,0,1,1,1,1,4,1,3,2012,2,2
2015,10057,3,2,4,0,2,1,1,2,4,2,3,1996,2,2
2015,10058,1,7,1,0,2,4,2,2,2,2,3,2009,2,2
