STATE,ST_CASE,VEH_NO,MDAREAS
1,10001,1,1
1,10001,1,12
1,10002,1,6
1,10002,1,13
1,10003,1,1
1,10003,1,2
1,10003,1,3
1,10003,1,4
1,10003,1,5
1,10003,1,6
1,10003,1,7
1,10003,1,8
1,10003,1,9
1,10003,1,10
1,10003,1,11
1,10003,1,12
1,10003,1,13
1,10003,1,14
1,10004,1,12
1,10005,1,3
1,10005,1,7
1,10005,1,8
1,10005,1,9
1,10005,1,10
1,10005,1,11
1,10005,1,13
1,10005,2,1
1,10005,2,11
1,10005,2,12
1,10006,1,13
1,10007,1,11
1,10007,1,12
1,10008,1,12
1,10009,1,1
1,10009,1,12
1,10010,1,12
1,10010,2,12
1,10011,1,7
1,10011,1,8
1,10011,1,9
1,10011,1,10
1,10011,1,11
1,10011,2,4
1,10011,2,13
1,10012,1,12
1,10012,2,10
1,10012,2,11
1,10012,3,12
1,10013,1,1
1,10013,1,13
1,10014,1,11
1,10014,1,13
1,10015,1,1
1,10015,1,2
1,10015,1,3
1,10015,1,4
1,10015,1,5
1,10016,1,2
1,10016,1,3
1,10016,1,4
1,10016,2,1
1,10016,2,12
1,10017,1,12
1,10018,1,12
1,10019,1,4
1,10019,1,13
1,10020,1,3
1,10020,2,12
1,10021,1,12
1,10021,2,6
1,10022,1,7
1,10022,1,13
1,10023,1,9
1,10024,1,12
1,10025,1,12
1,10026,1,13
1,10027,1,7
1,10027,1,8
1,10027,1,9
1,10027,1,10
1,10027,1,11
1,10027,2,8
1,10027,2,9
1,10027,2,10
1,10027,2,11
1,10027,2,12
1,10028,1,1
1,10028,1,2
1,10028,1,3
1,10028,1,4
1,10028,1,5
1,10028,1,6
1,10028,1,7
1,10028,1,8
1,10028,1,9
1,10028,1,10
1,10028,1,11
1,10028,1,12
1,10028,1,13
1,10028,1,14
1,10029,1,7
1,10029,1,8
1,10029,1,9
1,10029,1,10
1,10029,1,11
1,10029,1,12
1,10029,1,13
1,10030,1,1
1,10030,1,2
1,10030,1,3
1,10030,1,4
1,10030,1,5
1,10030,1,6
1,10030,1,7
1,10030,1,8
1,10030,1,9
1,10030,1,10
1,10030,1,11
1,10030,1,12
1,10030,1,13
1,10030,1,14
1,10030,2,12
1,10031,1,1
1,10031,1,12
1,10032,1,12
1,10032,1,13
1,10033,1,12
1,10034,1,1
1,10034,1,7
1,10034,1,8
1,10034,1,9
1,10034,1,10
1,10034,1,11
1,10034,1,12
1,10034,2,3
1,10034,2,4
1,10034,2,5
1,10034,2,6
1,10034,2,7
1,10034,2,8
1,10034,2,9
1,10034,2,10
1,10034,2,11
1,10034,3,1
1,10034,3,2
1,10034,3,3
1,10034,3,4
1,10034,3,5
1,10034,4,5
