"","ST_CASE","OBJECT_ID","FID","LATITUDE","LONGITUD","PERMVIT","PERSONS","MONTH","DAY_WEEK","HOUR","ROUTE","SP_JUR","HARM_EV","RELJCT1","RELJCT2","TYP_INT","WRK_ZONE","REL_ROAD","LGT_COND","WEATHER","FATALS","STATE","A_RU","A_INTER","A_TOD","A_DOW","A_CT","A_MC","A_SPCRA","A_PED","A_ROLL","A_POLPUR","A_POSBAC","A_D15_20","A_D65PLS","A_D21_24","A_HR","A_DIST","A_DROWSY","STATE_NAME","drunkDr"
"1",10001,1,21942,33.87865278,-87.32532778,1,1,1,5,2,3,0,35,0,1,1,0,4,2,1,1,1,1,2,2,1,1,2,2,2,2,2,1,2,1,2,2,2,2,"Alabama",1
"2",10002,1,19341,34.91044167,-86.90870833,1,1,1,5,22,1,0,34,0,1,1,0,3,2,10,1,1,1,1,2,1,1,2,1,2,1,2,2,2,2,2,2,2,2,"Alabama",0
"3",10003,1,25877,32.14200556,-85.75845556,2,2,1,5,1,2,0,42,0,1,1,0,4,2,1,1,1,1,2,2,1,1,2,2,2,1,2,1,2,2,2,2,2,2,"Alabama",1
"4",10004,1,26568,31.43981389,-85.5103,1,1,1,1,0,3,0,53,0,1,1,0,4,2,10,1,1,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,"Alabama",1
"5",10005,1,26666,31.31933056,-85.5151,2,2,1,4,7,2,0,12,0,2,3,0,1,1,1,1,1,2,2,1,1,2,2,2,2,1,2,2,2,2,1,2,2,2,"Alabama",0
"6",10006,1,23361,33.43849444,-85.38926667,2,2,1,5,9,4,0,1,0,1,1,0,4,1,1,1,1,1,2,1,1,1,2,2,2,1,2,3,2,2,2,2,2,2,"Alabama",0
"7",10007,1,19647,34.77304444,-86.52766389,2,2,1,5,18,2,0,43,0,1,1,0,4,3,1,1,1,2,2,2,1,1,2,2,2,2,2,3,2,1,2,2,2,2,"Alabama",0
"8",10008,1,23290,33.46248889,-86.87090556,1,1,1,7,21,6,0,8,0,1,1,0,1,2,2,1,1,2,2,2,2,1,2,2,1,2,2,3,2,2,2,1,2,2,"Alabama",0
"9",10009,1,23760,33.2361,-86.81392222,1,1,1,3,8,2,0,23,0,1,1,0,4,1,10,1,1,2,2,1,1,1,2,2,2,1,2,3,2,2,2,2,2,2,"Alabama",0
"10",10010,1,19671,34.75836667,-87.60750833,2,2,1,2,18,3,0,12,0,1,1,0,1,2,1,1,1,1,2,2,1,2,2,2,2,2,2,3,2,1,2,2,2,2,"Alabama",0
"11",10011,1,19660,34.76602778,-86.87921111,2,2,1,4,20,3,0,12,0,1,1,0,1,2,1,1,1,2,2,2,1,2,2,2,2,1,2,2,1,2,2,2,2,2,"Alabama",0
"12",10012,1,20403,34.36911667,-86.28887778,6,6,1,6,6,2,0,12,0,1,1,0,1,1,1,1,1,2,2,1,1,3,2,2,2,2,2,3,2,2,1,2,2,1,"Alabama",0
"13",10013,1,25188,32.55177222,-85.74464444,1,1,1,7,10,4,0,1,0,1,1,0,1,1,1,1,1,1,2,1,2,1,2,1,2,1,2,1,2,2,2,2,2,2,"Alabama",1
"14",10014,1,25854,32.16270833,-85.71402778,1,1,1,1,6,2,0,1,0,1,1,0,4,1,10,1,1,1,2,1,2,1,2,2,2,1,2,1,1,2,2,2,2,2,"Alabama",1
"15",10015,1,21595,33.96415,-87.60569722,1,1,1,1,8,4,0,1,0,1,1,0,4,1,1,1,1,1,2,1,2,1,2,1,2,1,2,2,2,2,2,2,2,2,"Alabama",0
"16",10016,1,25081,32.61823889,-85.37138333,2,2,1,3,17,3,0,12,0,8,1,0,1,3,10,1,1,2,2,1,1,2,2,2,2,2,2,3,2,1,2,2,2,2,"Alabama",0
"17",10017,1,27435,30.50592778,-88.233925,1,1,1,4,14,4,0,42,0,1,1,0,4,1,10,1,1,2,2,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,"Alabama",0
"18",10018,1,25229,32.52434444,-86.67211944,2,2,1,6,19,4,0,42,0,1,1,0,4,2,1,1,1,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,"Alabama",1
"19",10019,1,23773,33.22930833,-86.26927778,1,1,1,2,1,4,0,1,0,1,1,0,1,2,1,1,1,1,2,2,2,1,2,1,2,1,2,2,2,2,1,2,2,2,"Alabama",0
"20",10020,1,23276,33.46581111,-86.04999167,3,3,1,5,17,6,0,12,0,2,2,0,1,2,2,1,1,1,2,1,1,2,2,2,2,2,2,3,2,1,2,2,2,2,"Alabama",0
"21",10021,1,22971,33.56601667,-86.52102222,4,4,1,6,13,1,0,12,0,1,1,0,1,1,2,1,1,1,1,1,1,2,2,2,2,2,2,3,2,1,2,2,1,2,"Alabama",0
"22",10022,1,22058,33.84021944,-87.33155833,2,2,1,2,6,1,0,52,0,1,1,0,3,2,1,1,1,1,2,1,1,1,2,2,2,1,2,3,2,2,2,2,2,1,"Alabama",0
"23",10023,1,25772,32.21718333,-85.91875,1,1,1,2,21,3,0,42,0,1,1,0,4,2,5,1,1,1,2,2,1,1,2,1,2,2,2,3,2,2,2,2,2,2,"Alabama",1
"24",10024,1,26210,31.83945278,-85.2207,1,1,1,6,6,4,0,42,0,1,1,0,5,4,1,1,1,1,2,1,1,1,2,2,2,2,2,3,2,2,2,2,2,1,"Alabama",0
"25",10025,1,23984,33.08890556,-87.67459722,2,2,1,5,3,4,0,18,0,1,1,0,4,2,1,2,1,1,2,2,1,1,2,1,2,2,2,1,2,2,2,2,2,2,"Alabama",1
"26",10026,1,23282,33.46460556,-86.941675,1,1,1,3,13,6,0,33,0,3,3,0,4,1,10,1,1,2,2,1,1,1,2,1,2,1,2,3,2,2,2,2,2,2,"Alabama",0
"27",10027,1,27502,30.47271111,-87.66633056,3,3,1,7,14,4,0,12,0,2,2,0,1,1,1,1,1,2,2,1,2,2,2,2,2,1,2,3,2,1,2,2,2,2,"Alabama",0
"28",10028,1,25409,32.43066389,-86.51791667,1,1,1,7,0,3,0,1,0,1,1,0,4,2,1,1,1,2,2,2,2,1,2,2,2,1,2,1,2,2,2,2,2,2,"Alabama",1
"29",10029,1,26781,31.16130833,-85.19056111,1,1,1,6,5,2,0,59,0,3,3,0,4,2,2,1,1,1,2,2,1,1,2,1,2,2,2,3,2,2,1,2,2,2,"Alabama",0
"30",10030,1,24655,32.78083333,-86.4702,5,5,1,7,13,3,0,12,0,1,1,0,1,1,1,5,1,1,2,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,"Alabama",0
"31",10031,1,21753,33.92139167,-87.86725,1,1,1,7,16,4,0,8,0,2,3,0,1,5,1,1,1,1,2,1,2,1,2,2,1,2,2,3,2,2,2,2,1,2,"Alabama",0
"32",10032,1,22396,33.74095278,-85.88291667,1,1,1,1,6,4,0,34,0,1,1,0,4,4,1,1,1,2,2,1,2,1,2,1,2,1,2,1,2,2,2,2,2,2,"Alabama",1
"33",10033,1,24373,32.87644722,-85.87761667,2,2,1,6,21,6,0,42,0,1,1,0,4,3,2,2,1,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,"Alabama",1
"34",10034,1,27224,30.65515556,-87.90710278,10,10,1,5,14,2,0,12,0,3,2,0,1,1,10,1,1,2,2,1,1,3,2,2,2,2,2,1,2,1,2,2,2,2,"Alabama",1
"35",10035,1,22926,33.58196667,-86.92233333,2,2,1,4,9,2,0,12,0,2,2,0,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,3,2,1,2,1,2,2,"Alabama",0
"36",10036,1,27021,30.85440833,-88.19383056,5,5,1,2,14,2,0,12,0,1,1,0,1,1,1,2,1,1,2,1,1,2,2,2,2,1,2,3,2,2,1,2,2,2,"Alabama",0
"37",10037,1,27141,30.73176944,-87.78450833,1,1,1,2,14,4,0,42,0,1,1,0,5,1,1,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,"Alabama",0
"38",10038,1,27284,30.612125,-88.07764444,1,1,1,3,16,6,0,38,0,1,1,0,6,1,1,1,1,2,2,1,1,1,2,2,2,2,2,3,2,2,2,2,2,2,"Alabama",0
"39",10039,1,27363,30.55205833,-88.10484722,1,1,1,5,0,3,0,34,0,1,1,0,4,2,1,1,1,2,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,"Alabama",1
"40",10040,1,23383,33.43090833,-86.71233333,1,1,1,3,15,6,0,8,0,1,1,1,1,1,1,1,1,2,2,1,1,1,2,2,1,2,2,3,2,2,1,2,1,2,"Alabama",0
"41",10041,1,20391,34.37793333,-85.75579167,1,1,1,4,21,4,0,18,0,1,1,0,1,2,1,1,1,1,2,2,1,1,1,2,2,2,2,1,2,2,2,2,2,2,"Alabama",1
