ST_CASE,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10001,18,18,18,18,18,18,18,18,18,18
10002,0,0,0,0,0,0,0,0,0,0
10003,18,18,18,18,18,18,18,18,18,18
10004,26,26,26,26,26,26,26,26,26,26
10005,0,0,0,0,0,0,0,0,0,0
10006,0,0,0,0,7,0,0,0,0,0
10007,0,0,0,31,18,0,18,12,0,0
10008,14,0,28,12,17,10,0,27,0,20
10009,0,0,0,18,0,26,0,0,0,0
10010,0,0,0,0,0,0,0,0,15,0
10011,0,0,0,0,0,0,0,0,0,0
10012,0,0,0,0,0,0,9,0,0,0
10013,23,23,23,23,23,23,23,23,23,23
10014,15,15,15,15,15,15,15,15,15,15
10015,0,0,0,0,0,0,0,0,0,0
10016,28,0,0,0,0,0,0,0,0,0
10017,0,0,0,0,0,0,0,0,0,0
10018,12,12,12,12,12,12,12,12,12,12
10019,0,0,0,0,0,0,0,0,0,0
10020,0,0,0,0,0,0,0,0,0,0
10021,0,0,0,0,0,0,0,0,0,0
10022,0,0,0,0,0,0,0,0,0,0
10023,4,18,18,15,15,30,19,42,12,24
10024,0,0,0,13,0,0,0,22,16,13
10025,21,21,21,21,21,21,21,21,21,21
10026,0,24,30,0,0,0,12,17,0,0
10027,0,0,0,0,0,0,0,0,0,0
10028,22,22,22,22,22,22,22,22,22,22
10029,0,0,22,0,11,7,0,0,0,0
10030,0,0,0,0,0,0,0,0,0,0
10031,0,0,0,0,0,0,0,0,0,0
10032,21,21,21,21,21,21,21,21,21,21
10033,10,10,10,10,10,10,10,10,10,10
10034,15,15,15,15,15,15,15,15,15,15
10035,0,16,0,0,0,0,0,0,0,9
10036,0,0,0,0,0,0,0,0,0,0
10037,0,0,0,0,0,0,0,0,0,0
10038,9,0,28,0,11,7,27,6,17,0
10039,15,15,15,15,15,15,15,15,15,15
10040,0,0,0,0,0,0,0,0,0,0
10041,12,12,12,12,12,12,12,12,12,12
10042,24,24,24,24,24,24,24,24,24,24
10043,0,0,0,0,0,0,0,0,0,0
10044,20,17,13,13,15,0,0,24,0,0
10045,0,0,0,0,0,0,0,0,0,0
10046,0,26,0,0,20,0,0,0,0,0
10047,27,27,27,27,27,27,27,27,27,27
10048,0,0,0,0,0,0,0,0,0,0
10049,0,3,0,0,35,24,20,8,28,0
10050,0,0,0,0,0,0,0,0,0,0
10051,0,0,0,0,0,0,0,0,0,0
10052,0,0,0,0,0,0,0,0,0,0
