ST_CASE,VEH_NO,PER_NO,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
10001,1,1,18,18,18,18,18,18,18,18,18,18
10002,1,1,0,0,0,0,0,0,0,0,0,0
10003,1,1,18,18,18,18,18,18,18,18,18,18
10004,1,1,26,26,26,26,26,26,26,26,26,26
10005,1,1,0,0,0,0,0,0,0,0,0,0
10005,2,1,0,0,0,0,0,0,0,0,0,0
10006,1,1,0,0,0,0,7,0,0,0,0,0
10007,1,1,0,0,0,31,18,0,18,12,0,0
10008,0,1,14,0,28,12,17,10,0,11,0,0
10008,1,1,0,0,17,8,0,0,0,27,0,20
10009,1,1,0,0,0,18,0,26,0,0,0,0
10010,1,1,0,0,0,0,0,0,0,0,15,0
10010,2,1,0,0,0,0,0,0,0,0,0,0
10011,1,1,0,0,0,0,0,0,0,0,0,0
10011,2,1,0,0,0,0,0,0,0,0,0,0
10012,1,1,0,0,0,0,0,0,0,0,0,0
10012,2,1,0,0,0,0,0,0,9,0,0,0
10012,3,1,0,0,0,0,0,0,0,0,0,0
10013,1,1,23,23,23,23,23,23,23,23,23,23
10014,1,1,15,15,15,15,15,15,15,15,15,15
10015,1,1,0,0,0,0,0,0,0,0,0,0
10016,1,1,0,0,0,0,0,0,0,0,0,0
10016,2,1,28,0,0,0,0,0,0,0,0,0
10017,1,1,0,0,0,0,0,0,0,0,0,0
10018,1,1,12,12,12,12,12,12,12,12,12,12
10019,1,1,0,0,0,0,0,0,0,0,0,0
10020,1,1,0,0,0,0,0,0,0,0,0,0
10020,2,1,0,0,0,0,0,0,0,0,0,0
10021,1,1,0,0,0,0,0,0,0,0,0,0
10021,2,1,0,0,0,0,0,0,0,0,0,0
10022,1,1,0,0,0,0,0,0,0,0,0,0
10023,1,1,4,18,18,15,15,30,19,42,12,24
10024,1,1,0,0,0,13,0,0,0,22,16,13
10025,1,1,21,21,21,21,21,21,21,21,21,21
10026,1,1,0,24,30,0,0,0,12,17,0,0
10027,1,1,0,0,0,0,0,0,0,0,0,0
10027,2,1,0,0,0,0,0,0,0,0,0,0
10028,1,1,22,22,22,22,22,22,22,22,22,22
10029,1,1,0,0,22,0,11,7,0,0,0,0
10030,1,1,0,0,0,0,0,0,0,0,0,0
10030,2,1,0,0,0,0,0,0,0,0,0,0
10031,0,1,0,0,0,0,0,0,0,0,0,0
10031,1,1,0,0,0,0,0,0,0,0,0,0
10032,1,1,21,21,21,21,21,21,21,21,21,21
10033,1,1,10,10,10,10,10,10,10,10,10,10
10034,1,1,15,15,15,15,15,15,15,15,15,15
10034,2,1,0,0,0,0,0,0,0,0,0,0
10034,3,1,0,0,0,0,0,0,0,0,0,0
10034,4,1,0,0,0,0,0,0,0,0,0,0
10034,5,1,0,0,0,0,0,0,2,0,0,0
10034,6,1,0,0,15,0,0,0,0,0,0,0
10035,1,1,0,16,0,0,0,0,0,0,0,9
10035,2,1,0,0,0,0,0,0,0,0,0,0
10036,1,1,0,0,0,0,0,0,0,0,0,0
10036,2,1,0,0,0,0,0,0,0,0,0,0
10037,1,1,0,0,0,0,0,0,0,0,0,0
10038,1,1,9,0,28,0,11,7,27,6,17,0
10039,1,1,15,15,15,15,15,15,15,15,15,15
10040,0,1,0,0,0,0,0,0,0,0,0,0
10040,1,1,0,0,0,0,0,0,0,0,0,0
10041,1,1,12,12,12,12,12,12,12,12,12,12
10042,0,1,24,24,24,24,24,24,24,24,24,24
10042,1,1,0,0,0,0,0,0,0,0,0,0
10043,1,1,0,0,0,0,0,0,0,0,0,0
10044,1,1,20,17,13,13,15,0,0,24,0,0
10045,1,1,0,0,0,0,0,0,0,0,0,0
10046,1,1,0,26,0,0,20,0,0,0,0,0
10047,1,1,27,27,27,27,27,27,27,27,27,27
10048,1,1,0,0,0,0,0,0,0,0,0,0
10049,1,1,0,0,0,0,0,0,0,0,0,0
10049,2,1,0,3,0,0,35,24,20,8,28,0
10050,0,1,0,0,0,0,0,0,0,0,0,0
10050,1,1,0,0,0,0,0,0,0,0,0,0
10051,1,1,0,0,0,0,0,0,0,0,0,0
10051,2,1,0,0,0,0,0,0,0,0,0,0
10052,1,1,0,0,0,0,0,0,0,0,0,0
10053,1,1,0,0,0,0,0,0,0,0,0,0
10054,1,1,0,0,9,0,0,5,0,0,11,0
10054,2,1,0,0,11,0,14,0,0,0,0,0
10055,0,1,32,32,32,32,32,32,32,32,32,32
10055,1,1,0,14,15,7,8,30,0,0,25,14
10056,1,1,14,14,14,14,14,14,14,14,14,14
10057,1,1,0,0,0,0,0,0,0,0,0,0
