STATE,ST_CASE,VEH_NO,PVE_FORMS,PNUMOCCS,PDAY,PMONTH,PHOUR,PMINUTE,PHARM_EV,PMAN_COLL,PTYPE,PHIT_RUN,PREG_STAT,POWNER,PMAKE,PMODEL,PMAK_MOD,PBODYTYP,PMODYEAR,PVIN,PVIN_1,PVIN_2,PVIN_3,PVIN_4,PVIN_5,PVIN_6,PVIN_7,PVIN_8,PVIN_9,PVIN_10,PVIN_11,PVIN_12,PTRAILER,PMCARR_I1,PMCARR_I2,PMCARR_ID,PGVWR,PV_CONFIG,PCARGTYP,PHAZ_INV,PHAZPLAC,PHAZ_ID,PHAZ_CNO,PHAZ_REL,PBUS_USE,PSP_USE,PEM_USE,PUNDERIDE,PIMPACT1,PVEH_SEV,PTOWED,PM_HARM,PVEH_SC1,PVEH_SC2,PFIRE,PDEATHS
1,10076,2,1,0,13,2,10,9,18,0,4,0,1,3,12,481,12481,31,2012,1FTEX1EM5CFB,1,F,T,E,X,1,E,M,5,C,F,B,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,6,4,3,12,0,0,0,0
1,10234,2,1,1,11,5,16,0,14,0,2,0,1,6,20,441,20441,20,1996,1GNDM19W0TB1,1,G,N,D,M,1,9,W,0,T,B,1,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,7,4,3,12,0,0,0,0
1,10278,2,1,1,4,6,3,29,14,0,2,0,1,6,12,481,12481,31,2005,1FTRW12W55KB,1,F,T,R,W,1,2,W,5,5,K,B,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,6,6,2,12,0,0,0,0
1,10278,3,1,0,4,6,3,29,14,0,2,0,1,6,20,404,20404,14,2005,2CNDL13F5560,2,C,N,D,L,1,3,F,5,5,6,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,12,6,2,12,0,0,0,0
1,10305,2,1,1,19,6,16,9,14,0,2,0,17,6,84,881,84881,66,2000,,,,,,,,,,,,,,1,57,688143,57688143,3,6,1,1,0,0,0,0,0,0,0,0,6,2,3,12,0,0,0,0
1,10305,3,1,0,19,6,16,9,14,0,2,0,1,6,23,481,23481,31,2011,1GT01ZCG5BF1,1,G,T,0,1,Z,C,G,5,B,F,1,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,6,6,2,12,0,0,0,0
1,10322,3,2,0,20,6,12,15,12,6,2,0,1,6,99,999,99999,99,9999,999999999999,9,9,9,9,9,9,9,9,9,9,9,9,1,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,6,9,5,12,0,0,0,0
1,10468,2,1,2,26,8,13,25,14,0,2,0,1,6,12,481,12481,31,2006,3FRNW75ZX6V3,3,F,R,N,W,7,5,Z,X,6,V,3,1,1,011660,01011660,2,4,3,1,0,0,0,0,0,0,0,0,7,2,3,12,0,0,0,0
1,10493,2,1,0,7,9,18,45,59,0,3,0,92,6,12,401,12401,14,1999,1FMYU24X9XUC,1,F,M,Y,U,2,4,X,9,X,U,C,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,6,4,5,12,0,0,0,0
1,10512,2,1,0,14,9,9,59,14,0,2,0,1,6,12,422,12422,15,1999,1FMRU17L2XLA,1,F,M,R,U,1,7,L,2,X,L,A,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,6,6,2,12,0,0,0,0
1,10558,2,1,0,2,10,8,53,14,0,3,0,1,6,23,481,23481,31,2011,3GTP1UEA8BG3,3,G,T,P,1,U,E,A,8,B,G,3,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,12,6,2,12,0,0,0,0
1,10576,2,1,0,21,10,4,0,14,0,2,0,92,6,7,402,7402,14,2001,1B4HR28N31F6,1,B,4,H,R,2,8,N,3,1,F,6,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,6,6,2,12,0,0,0,0
1,10584,3,2,2,25,10,20,30,12,6,3,0,1,6,37,32,37032,4,2001,1HGCF86661A1,1,H,G,C,F,8,6,6,6,1,A,1,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,10,6,2,12,0,0,0,0
1,10596,2,1,1,12,11,12,48,14,0,2,0,13,6,82,881,82881,66,2007,1FUJA6CK47LY,1,F,U,J,A,6,C,K,4,7,L,Y,1,57,2134984,572134984,3,6,1,1,0,0,0,0,0,0,0,0,6,6,2,12,0,0,0,0
1,10608,2,1,1,16,11,10,20,45,0,4,0,1,3,84,881,84881,62,2008,1HTMMAAR58H6,1,H,T,M,M,A,A,R,5,8,H,6,1,88,888888888,88888888888,2,4,4,1,0,0,0,0,0,0,0,0,6,6,2,12,0,0,0,1
1,10649,2,1,1,27,11,12,15,14,0,2,0,1,6,49,482,49482,31,2006,5TBET34156S5,5,T,B,E,T,3,4,1,5,6,S,5,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,6,6,2,12,0,0,0,0
1,10694,2,1,0,21,12,16,20,14,0,3,0,1,6,49,32,49032,4,2003,1NXBR32E43Z0,1,N,X,B,R,3,2,E,4,3,Z,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,5,2,5,12,0,0,0,0
1,10712,3,2,0,4,9,14,15,12,1,2,0,13,6,63,441,63441,20,2006,KNDMB2339660,K,N,D,M,B,2,3,3,9,6,6,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,7,6,2,12,0,0,0,0
