STATE,ST_CASE,VEH_NO,PER_NO,MSAFEQMT
1,10008,0,1,1
1,10031,0,1,1
1,10040,0,1,3
1,10042,0,1,1
1,10050,0,1,1
1,10055,0,1,1
1,10059,0,1,1
1,10064,0,1,1
1,10069,0,1,1
1,10072,0,1,1
1,10073,0,1,1
1,10076,0,1,3
1,10077,0,1,1
1,10088,0,1,1
1,10090,0,1,1
1,10098,0,1,1
1,10113,0,1,1
1,10117,0,1,1
1,10124,0,1,1
1,10128,0,1,1
1,10131,0,1,1
1,10137,0,1,1
1,10148,0,1,1
1,10160,0,1,1
1,10162,0,1,1
1,10178,0,1,1
1,10183,0,1,1
1,10206,0,1,1
1,10208,0,1,1
1,10224,0,1,1
1,10234,0,1,1
1,10247,0,1,1
1,10256,0,1,1
1,10264,0,1,1
1,10268,0,1,2
1,10268,0,1,3
1,10268,0,2,2
1,10268,0,2,3
1,10278,0,1,1
1,10282,0,1,1
1,10283,0,1,1
1,10291,0,1,1
1,10292,0,1,1
1,10298,0,1,1
1,10300,0,1,1
1,10305,0,1,1
1,10357,0,1,1
1,10365,0,1,1
1,10369,0,1,1
1,10381,0,1,1
1,10399,0,1,1
1,10413,0,1,1
1,10414,0,1,1
1,10426,0,1,1
1,10429,0,1,1
1,10442,0,1,1
1,10445,0,1,1
1,10446,0,1,1
1,10449,0,1,1
1,10465,0,1,1
1,10468,0,1,3
1,10471,0,1,1
1,10476,0,1,2
1,10476,0,2,2
1,10476,0,3,2
1,10489,0,1,3
1,10498,0,1,1
1,10520,0,1,1
1,10528,0,1,1
1,10529,0,1,1
1,10533,0,1,1
1,10543,0,1,1
1,10547,0,1,1
1,10550,0,1,1
1,10552,0,1,1
1,10559,0,1,1
1,10564,0,1,1
1,10565,0,1,1
1,10569,0,1,1
1,10582,0,1,1
1,10585,0,1,1
1,10590,0,1,1
1,10597,0,1,1
1,10599,0,1,1
1,10609,0,1,1
1,10618,0,1,3
1,10622,0,1,1
1,10629,0,1,1
1,10639,0,1,1
1,10647,0,1,8
1,10661,0,1,1
1,10662,0,1,1
1,10669,0,1,1
1,10669,0,2,1
