FID,OBJECTID,NAME,STATE_NAME,STATE_FIPS,CNTY_FIPS,FIPS,Shape_Leng,Shape_Area
0,1,Lake of the Woods,Minnesota,27,077,27077,4.055460041,0.565449937
1,2,Ferry,Washington,53,019,53019,3.786161054,0.718059299
2,3,Stevens,Washington,53,065,53065,4.876296304,0.795485894
3,4,Okanogan,Washington,53,047,53047,6.673168812,1.669110292
4,5,Pend Oreille,Washington,53,051,53051,3.101655506,0.455725815
5,6,Boundary,Idaho,16,021,16021,2.943635003,0.404983066
6,7,Lincoln,Montana,30,053,30053,5.30877613,1.180135004
7,8,Flathead,Montana,30,029,30029,7.973459133,1.642156196
8,9,Glacier,Montana,30,035,30035,5.22148906,0.985038643
9,10,Toole,Montana,30,101,30101,3.356589091,0.613867663
10,11,Liberty,Montana,30,051,30051,3.071838693,0.468895591
11,12,Hill,Montana,30,041,30041,4.545180584,0.920879158
12,13,Sheridan,Montana,30,091,30091,3.213947281,0.533392834
13,14,Divide,North Dakota,38,023,38023,3.063253055,0.406037322
14,15,Burke,North Dakota,38,013,38013,2.728594918,0.355177716
15,16,Renville,North Dakota,38,075,38075,2.985717776,0.279904653
16,17,Bottineau,North Dakota,38,009,38009,3.777733938,0.540901265
17,18,Rolette,North Dakota,38,079,38079,2.286681769,0.298987364
18,19,Towner,North Dakota,38,095,38095,2.376617724,0.332580177
19,20,Cavalier,North Dakota,38,019,38019,3.065546047,0.475949311
20,21,Pembina,North Dakota,38,067,38067,2.57123847,0.352290501
21,22,Kittson,Minnesota,27,069,27069,2.682907227,0.346911819
22,23,Roseau,Minnesota,27,135,27135,3.610900369,0.528957197
23,24,Blaine,Montana,30,005,30005,5.366019611,1.329139896
24,25,Phillips,Montana,30,071,30071,6.464808267,1.629794057
25,26,Valley,Montana,30,105,30105,6.219902477,1.58850305
26,27,Daniels,Montana,30,019,30019,3.214714891,0.450270901
27,28,Whatcom,Washington,53,073,53073,4.900841767,0.6865388
28,29,Bonner,Idaho,16,017,16017,3.96877656,0.597019687
29,30,Ward,North Dakota,38,101,38101,4.40857097,0.640877494
30,31,Koochiching,Minnesota,27,071,27071,4.465305211,0.985380956
31,32,Skagit,Washington,53,057,53057,4.885290718,0.55521759
32,33,Williams,North Dakota,38,105,38105,3.89612712,0.682762135
33,34,McHenry,North Dakota,38,049,38049,3.261400483,0.587775123
34,35,St. Louis,Minnesota,27,137,27137,6.473358433,2.091663051
35,36,San Juan,Washington,53,055,53055,0.677732031,0.017635951
36,37,Roosevelt,Montana,30,085,30085,5.108750331,0.751433542
37,38,Mountrail,North Dakota,38,061,38061,3.589104271,0.609317191
38,39,Marshall,Minnesota,27,089,27089,4.170416954,0.571790138
39,40,Ramsey,North Dakota,38,071,38071,3.22356142,0.41126109
40,41,Walsh,North Dakota,38,099,38099,3.379905933,0.411900387
41,42,Beltrami,Minnesota,27,007,27007,4.608745145,0.953444037
42,43,Pierce,North Dakota,38,069,38069,3.012348167,0.335291663
43,44,Chelan,Washington,53,007,53007,5.206708074,0.939368291
44,45,Pondera,Montana,30,073,30073,4.809741082,0.512102382
45,46,Clallam,Washington,53,009,53009,4.295569885,0.556421553
46,47,Benson,North Dakota,38,005,38005,3.818503508,0.443801104
47,48,Chouteau,Montana,30,015,30015,5.458547697,1.237177823
48,49,Snohomish,Washington,53,061,53061,4.114426201,0.656134923
49,50,Island,Washington,53,029,53029,2.500332334,0.072293359
50,51,Sanders,Montana,30,089,30089,6.064898763,0.857024357
51,52,Lake,Minnesota,27,075,27075,3.891457415,0.715354111
52,53,Nelson,North Dakota,38,063,38063,2.332876446,0.314612842
53,54,Grand Forks,North Dakota,38,035,38035,2.961624733,0.450370218
54,55,Polk,Minnesota,27,119,27119,4.699140199,0.616006773
55,56,Pennington,Minnesota,27,113,27113,2.295088246,0.189873755
56,57,Douglas,Washington,53,017,53017,4.342303661,0.570914415
57,58,McKenzie,North Dakota,38,053,38053,4.625264028,0.886277598
58,59,Jefferson,Washington,53,031,53031,4.871539818,0.550174234
59,60,Richland,Montana,30,083,30083,4.019230506,0.652752764
60,61,Teton,Montana,30,099,30099,4.42179428,0.703780667
61,62,McCone,Montana,30,055,30055,4.660987398,0.833495173
62,63,Shoshone,Idaho,16,079,16079,4.682898032,0.816418479
63,64,Spokane,Washington,53,063,53063,3.252360607,0.5547506
64,65,Lake,Montana,30,047,30047,4.226180618,0.511443064
65,66,Clearwater,Minnesota,27,029,27029,2.568173014,0.321516293
66,67,Kootenai,Idaho,16,055,16055,2.711320557,0.405553624
67,68,Garfield,Montana,30,033,30033,6.027176059,1.495409133
68,69,Red Lake,Minnesota,27,125,27125,1.933529453,0.133666247
69,70,Grant,Washington,53,025,53025,4.637954623,0.856840596
70,71,Lincoln,Washington,53,043,53043,3.768563151,0.72214128
