STATE,ST_CASE,EVENTNUM,VEH_NO,VEVENTNUM,VNUMBER1,AOI1,SOE,VNUMBER2,AOI2
1,10001,1,1,1,1,55,63,5555,55
1,10001,2,1,2,1,12,35,9999,77
1,10001,3,1,3,1,55,67,5555,55
1,10001,4,1,4,1,12,42,9999,77
1,10002,1,1,1,1,55,64,5555,55
1,10002,2,1,2,1,6,34,9999,77
1,10002,3,1,3,1,6,24,9999,77
1,10002,4,1,4,1,0,1,9999,77
1,10003,1,1,1,1,55,63,5555,55
1,10003,2,1,2,1,12,42,9999,77
1,10003,3,1,3,1,0,1,9999,77
1,10003,4,1,4,1,0,2,9999,77
1,10004,1,1,1,1,55,63,5555,55
1,10004,2,1,2,1,12,53,9999,77
1,10004,3,1,3,1,12,35,9999,77
1,10004,4,1,4,1,12,42,9999,77
1,10005,1,1,1,2,12,12,1,3
1,10005,2,1,2,1,55,64,5555,55
1,10005,3,1,3,1,0,1,9999,77
1,10005,1,2,1,2,12,12,1,3
1,10006,1,1,1,1,55,63,5555,55
1,10006,2,1,2,1,55,69,5555,55
1,10006,3,1,3,1,55,68,5555,55
1,10006,4,1,4,1,55,64,5555,55
1,10006,5,1,5,1,0,1,9999,77
1,10006,6,1,6,1,13,38,9999,77
1,10007,1,1,1,1,55,63,5555,55
1,10007,2,1,2,1,12,43,9999,77
1,10008,1,1,1,1,12,8,9999,77
1,10009,1,1,1,1,55,63,5555,55
1,10009,2,1,2,1,1,23,9999,77
1,10009,3,1,3,1,55,69,5555,55
1,10009,4,1,4,1,55,63,5555,55
1,10009,5,1,5,1,12,59,9999,77
1,10009,6,1,6,1,12,59,9999,77
1,10009,7,1,7,1,98,42,9999,77
1,10009,8,1,8,1,0,1,9999,77
1,10009,9,1,9,1,98,42,9999,77
1,10010,1,1,1,1,12,12,2,12
1,10010,1,2,1,1,12,12,2,12
1,10011,1,1,1,1,11,12,2,4
1,10011,1,2,1,1,11,12,2,4
1,10011,2,2,2,2,55,64,5555,55
1,10011,3,2,3,2,61,23,9999,77
1,10011,4,2,4,2,55,63,5555,55
1,10011,5,2,5,2,0,1,9999,77
1,10012,1,1,1,1,55,68,5555,55
1,10012,2,1,2,1,12,12,2,11
1,10012,3,1,3,1,12,12,3,12
1,10012,2,2,1,1,12,12,2,11
1,10012,3,3,1,1,12,12,3,12
1,10013,1,1,1,1,55,63,5555,55
1,10013,2,1,2,1,55,69,5555,55
1,10013,3,1,3,1,0,1,9999,77
1,10014,1,1,1,1,55,63,5555,55
1,10014,2,1,2,1,55,69,5555,55
1,10014,3,1,3,1,55,68,5555,55
1,10014,4,1,4,1,55,64,5555,55
1,10014,5,1,5,1,0,1,9999,77
1,10015,1,1,1,1,55,68,5555,55
1,10015,2,1,2,1,55,64,5555,55
1,10015,3,1,3,1,0,1,9999,77
1,10016,1,1,1,2,12,12,1,2
1,10016,1,2,1,2,12,12,1,2
1,10017,1,1,1,1,55,68,5555,55
1,10017,2,1,2,1,55,64,5555,55
1,10017,3,1,3,1,12,42,9999,77
1,10018,1,1,1,1,55,63,5555,55
1,10018,2,1,2,1,12,42,9999,77
1,10019,1,1,1,1,55,63,5555,55
1,10019,2,1,2,1,55,69,5555,55
1,10019,3,1,3,1,55,68,5555,55
1,10019,4,1,4,1,0,1,9999,77
1,10019,5,1,5,1,55,64,5555,55
1,10019,6,1,6,1,98,38,9999,77
1,10020,1,1,1,2,12,12,1,3
1,10020,2,1,2,1,55,64,5555,55
1,10020,3,1,3,1,98,59,9999,77
1,10020,1,2,1,2,12,12,1,3
1,10021,1,1,1,1,12,12,2,6
1,10021,1,2,1,1,12,12,2,6
1,10022,1,1,1,1,55,64,5555,55
1,10022,2,1,2,1,7,52,9999,77
1,10022,3,1,3,1,55,69,5555,55
1,10022,4,1,4,1,55,63,5555,55
1,10022,5,1,5,1,0,1,9999,77
1,10022,6,1,6,1,98,24,9999,77
1,10023,1,1,1,1,55,63,5555,55
1,10023,2,1,2,1,9,42,9999,77
1,10024,1,1,1,1,55,63,5555,55
1,10024,2,1,2,1,12,42,9999,77
1,10025,1,1,1,1,55,68,5555,55
1,10025,2,1,2,1,55,64,5555,55
1,10025,3,1,3,1,12,18,9999,77
1,10025,4,1,4,1,0,2,9999,77
1,10026,1,1,1,1,55,64,5555,55
1,10026,2,1,2,1,55,69,5555,55
1,10026,3,1,3,1,55,63,5555,55
1,10026,4,1,4,1,98,33,9999,77
1,10026,5,1,5,1,0,1,9999,77
1,10027,1,1,1,2,12,12,1,9
1,10027,1,2,1,2,12,12,1,9
1,10027,2,2,2,2,0,1,9999,77
1,10028,1,1,1,1,55,68,5555,55
1,10028,2,1,2,1,55,64,5555,55
1,10028,3,1,3,1,55,67,5555,55
1,10028,4,1,4,1,0,1,9999,77
1,10029,1,1,1,1,55,63,5555,55
1,10029,2,1,2,1,10,59,9999,77
1,10029,3,1,3,1,9,42,9999,77
1,10030,1,1,1,1,55,68,5555,55
1,10030,2,1,2,1,12,12,2,12
1,10030,3,1,3,1,55,68,5555,55
1,10030,4,1,4,1,0,1,9999,77
1,10030,5,1,5,1,0,2,9999,77
1,10030,2,2,1,1,12,12,2,12
1,10031,1,1,1,1,12,8,9999,77
1,10032,1,1,1,1,55,63,5555,55
1,10032,2,1,2,1,12,34,9999,77
1,10032,3,1,3,1,0,1,9999,77
1,10032,4,1,4,1,13,34,9999,77
1,10033,1,1,1,1,55,63,5555,55
1,10033,2,1,2,1,12,42,9999,77
1,10034,1,1,1,1,12,12,2,6
1,10034,2,1,2,1,61,12,3,81
1,10034,1,2,1,1,12,12,2,6
1,10034,3,2,2,2,61,12,4,6
1,10034,4,2,3,2,98,12,6,6
1,10034,2,3,1,1,61,12,3,81
1,10034,3,4,1,2,61,12,4,6
1,10034,5,5,1,6,98,12,5,7
1,10034,4,6,1,2,98,12,6,6
1,10034,5,6,2,6,98,12,5,7
1,10035,1,1,1,1,12,12,2,9
1,10035,1,2,1,1,12,12,2,9
1,10036,1,1,1,1,55,68,5555,55
1,10036,2,1,2,2,11,12,1,1
1,10036,2,2,1,2,11,12,1,1
1,10036,3,2,2,2,55,63,5555,55
1,10036,4,2,3,2,0,1,9999,77
1,10037,1,1,1,1,55,68,5555,55
1,10037,2,1,2,1,55,64,5555,55
1,10037,3,1,3,1,12,42,9999,77
1,10038,1,1,1,1,55,63,5555,55
1,10038,2,1,2,1,12,38,9999,77
1,10038,3,1,3,1,12,42,9999,77
1,10039,1,1,1,1,55,63,5555,55
1,10039,2,1,2,1,12,34,9999,77
1,10039,3,1,3,1,12,32,9999,77
1,10040,1,1,1,1,12,8,9999,77
1,10041,1,1,1,1,55,68,5555,55
1,10041,2,1,2,1,12,18,9999,77
1,10042,1,1,1,1,12,8,9999,77
1,10043,1,1,1,1,55,63,5555,55
1,10043,2,1,2,1,55,69,5555,55
1,10043,3,1,3,1,55,68,5555,55
1,10043,4,1,4,1,55,64,5555,55
1,10043,5,1,5,1,1,19,9999,77
1,10044,1,1,1,1,55,64,5555,55
1,10044,2,1,2,1,12,52,9999,77
1,10045,1,1,1,1,55,63,5555,55
1,10045,2,1,2,1,11,59,9999,77
1,10046,1,1,1,1,55,64,5555,55
1,10046,2,1,2,1,55,69,5555,55
1,10046,3,1,3,1,55,63,5555,55
1,10046,4,1,4,1,3,42,9999,77
1,10047,1,1,1,1,55,67,5555,55
1,10047,2,1,2,1,55,68,5555,55
1,10047,3,1,3,1,55,64,5555,55
1,10047,4,1,4,1,12,19,9999,77
1,10047,5,1,5,1,6,30,9999,77
1,10048,1,1,1,1,55,68,5555,55
1,10048,2,1,2,1,55,68,5555,55
1,10048,3,1,3,1,55,63,5555,55
1,10048,4,1,4,1,8,59,9999,77
1,10048,5,1,5,1,8,30,9999,77
1,10049,1,1,1,2,12,12,1,1
1,10049,1,2,1,2,12,12,1,1
1,10050,1,1,1,1,12,8,9999,77
1,10051,1,1,1,1,55,68,5555,55
1,10051,2,1,2,2,12,12,1,2
1,10051,2,2,1,2,12,12,1,2
1,10052,1,1,1,1,55,68,5555,55
1,10052,2,1,2,1,55,64,5555,55
1,10052,3,1,3,1,12,32,9999,77
1,10053,1,1,1,1,55,63,5555,55
1,10053,2,1,2,1,55,67,5555,55
1,10053,3,1,3,1,12,35,9999,77
1,10053,4,1,4,1,0,1,9999,77
1,10053,5,1,5,1,14,42,9999,77
1,10054,1,1,1,2,12,12,1,6
1,10054,1,2,1,2,12,12,1,6
1,10055,1,1,1,1,12,8,9999,77
1,10056,1,1,1,1,55,63,5555,55
1,10056,2,1,2,1,12,59,9999,77
1,10056,3,1,3,1,55,69,5555,55
1,10056,4,1,4,1,55,68,5555,55
1,10056,5,1,5,1,55,64,5555,55
1,10056,6,1,6,1,0,1,9999,77
1,10056,7,1,7,1,12,42,9999,77
1,10056,8,1,8,1,0,2,9999,77
1,10057,1,1,1,2,12,12,1,6
1,10057,1,2,1,2,12,12,1,6
1,10057,2,2,2,2,0,1,9999,77
1,10057,3,2,3,2,98,12,3,7
1,10057,3,3,1,2,98,12,3,7
1,10058,1,1,1,1,0,1,9999,77
1,10058,2,1,2,2,12,12,1,6
1,10058,2,2,1,2,12,12,1,6
1,10059,1,1,1,1,12,8,9999,77
1,10060,1,1,1,1,55,68,5555,55
1,10060,2,1,2,1,12,12,2,11
1,10060,2,2,1,1,12,12,2,11
1,10061,1,1,1,1,55,63,5555,55
1,10061,2,1,2,1,55,69,5555,55
1,10061,3,1,3,1,55,68,5555,55
1,10061,4,1,4,1,0,1,9999,77
1,10062,1,1,1,1,55,63,5555,55
1,10062,2,1,2,1,12,19,9999,77
1,10063,1,1,1,1,55,63,5555,55
1,10063,2,1,2,1,0,1,9999,77
1,10064,1,1,1,1,12,8,9999,77
1,10065,1,1,1,1,12,12,2,6
1,10065,1,2,1,1,12,12,2,6
1,10065,2,2,2,2,55,63,5555,55
1,10065,3,2,3,2,0,1,9999,77
1,10065,4,2,4,2,0,2,9999,77
1,10066,1,1,1,1,55,64,5555,55
1,10066,2,1,2,1,12,42,9999,77
1,10067,1,1,1,1,55,68,5555,55
1,10067,2,1,2,1,12,12,2,12
1,10067,2,2,1,1,12,12,2,12
1,10067,3,2,2,3,12,12,2,3
1,10067,5,2,3,4,12,12,2,6
1,10067,3,3,1,3,12,12,2,3
1,10067,4,3,2,4,12,12,3,8
1,10067,4,4,1,4,12,12,3,8
1,10067,5,4,2,4,12,12,2,6
1,10068,1,1,1,1,55,68,5555,55
1,10068,2,1,2,1,55,64,5555,55
1,10068,3,1,3,1,0,1,9999,77
1,10069,1,1,1,1,12,8,9999,77
1,10069,2,2,1,2,14,8,9999,77
1,10070,1,1,1,1,55,68,5555,55
1,10070,2,1,2,1,55,64,5555,55
1,10070,3,1,3,1,12,34,9999,77
1,10070,4,1,4,1,3,30,9999,77
1,10071,1,1,1,1,55,68,5555,55
1,10071,2,1,2,1,12,12,2,12
1,10071,2,2,1,1,12,12,2,12
1,10072,1,1,1,1,12,8,9999,77
1,10073,1,1,1,1,12,8,9999,77
1,10074,1,1,1,1,55,64,5555,55
1,10074,2,1,2,1,12,25,9999,77
1,10074,3,1,3,1,55,69,5555,55
1,10074,4,1,4,2,10,12,1,6
1,10074,5,1,5,1,55,63,5555,55
1,10074,6,1,6,1,98,25,9999,77
1,10074,7,1,7,1,55,69,5555,55
1,10074,8,1,8,3,12,12,1,12
1,10074,11,1,9,4,12,12,1,3
1,10074,4,2,1,2,10,12,1,6
1,10074,8,3,1,3,12,12,1,12
1,10074,9,3,2,3,55,64,5555,55
1,10074,10,3,3,3,12,25,9999,77
1,10074,11,4,1,4,12,12,1,3
1,10075,1,1,1,1,11,12,2,11
1,10075,2,1,2,1,55,64,5555,55
1,10075,3,1,3,1,12,42,9999,77
1,10075,1,2,1,1,11,12,2,11
1,10076,1,1,1,1,55,71,9999,77
1,10076,2,1,2,1,12,18,9999,77
1,10076,3,1,3,1,19,8,9999,77
1,10076,4,1,4,1,19,45,2,6
1,10076,4,2,1,1,19,45,2,6
1,10077,1,1,1,1,12,8,9999,77
1,10078,1,1,1,1,0,1,9999,77
1,10078,2,1,2,1,55,64,5555,55
1,10078,3,1,3,1,12,24,9999,77
1,10079,1,1,1,1,55,64,5555,55
1,10079,2,1,2,1,12,21,9999,77
1,10079,3,1,3,1,98,24,9999,77
1,10080,1,1,1,1,55,68,5555,55
1,10080,2,1,2,1,55,64,5555,55
1,10080,3,1,3,1,12,35,9999,77
1,10080,4,1,4,1,0,1,9999,77
1,10081,1,1,1,1,12,12,2,6
1,10081,1,2,1,1,12,12,2,6
1,10082,1,1,1,1,55,63,5555,55
1,10082,2,1,2,1,0,1,9999,77
1,10083,1,1,1,1,55,67,5555,55
1,10083,2,1,2,1,12,12,2,11
1,10083,3,1,3,1,55,64,5555,55
1,10083,5,1,4,1,10,59,9999,77
1,10083,8,1,5,1,0,1,9999,77
1,10083,2,2,1,1,12,12,2,11
1,10083,4,2,2,2,55,64,5555,55
1,10083,6,2,3,2,6,30,9999,77
1,10083,7,2,4,2,12,43,9999,77
1,10084,1,1,1,1,12,12,2,6
1,10084,3,1,2,1,12,12,3,9
1,10084,1,2,1,1,12,12,2,6
1,10084,2,2,2,2,6,12,3,9
1,10084,2,3,1,2,6,12,3,9
1,10084,3,3,2,1,12,12,3,9
1,10085,1,1,1,1,55,64,5555,55
1,10085,2,1,2,1,55,68,5555,55
1,10085,3,1,3,1,12,34,9999,77
1,10085,4,1,4,1,0,1,9999,77
1,10086,1,1,1,2,12,12,1,1
1,10086,1,2,1,2,12,12,1,1
1,10087,1,1,1,1,55,63,5555,55
1,10087,2,1,2,1,12,42,9999,77
