,Text,location,status
0,"@ladygaga Enjoy my Parody of ""Popular"" supporting @HillaryClinton Hillary Parody Video Song https://t.co/Nb1VWVFWi3",USA,neu
1,"@_tanaii @DJD @HillaryClinton stop being sexist, start supporting hillary. #ImWithHer","Massachusetts, USA",pos
2,Quit making excuses the president and @HillaryClinton where not there when the people needed them! #USA https://t.co/GyytDfGi2J,"Bowling Green, OH",neu
3,"RT @seanhannity: .@HillaryClinton blames Colin Powell for her use of private Email, Powell fires back https://t.co/xacy3Q9qcA","Kadky, stanbul",neg
4,"RT @FoxNews: Trump: ""@HillaryClinton would rather provide a job to a refugee from overseas than to give that job to unemployed African Amer",Oklahoma,neu
5,It is past time for women to take their rightful place. @HillaryClinton #Hillary2016 #ImWithHer #GOPdebate https://t.co/E8Av3Fe04J,U.S.A,neg
6,"@CNN @hillaryclinton @wsj @SenSanders @WSJ @abc HRC usual tactic of lie,lie,lie, evade, or delay. Same ol' Hillary! https://t.co/FGPC0VvQwd","Fort Worth, TX",neg
7,"RT @FoxNews: .@realDonaldTrump: ""No group in America has been more harmed by @HillaryClinton's policies than African Americans."" https://t.","Miami, Fl",neu
8,Your clothing line is made off shores.  https://t.co/ref8l3zCmr,Home of the Free. ,neg
9,@miner333 @HillaryClinton  it's an ugly word...but the word applies to her.,Los Angeles,neg
10,@TeddyDavisCNN @CNN @HillaryClinton Please get Trump off the air now. Stop airing his entire rallies!! There has to be other news to cover,winter park florida ,pos
11,RT @TeddyDavisCNN: Donald Trump just said that @HillaryClinton would rather give a job to a refugee than to an unemployed African American.,Wisconsin ,neu
12,RT @NeilTurner_: @HillaryClinton Hillary cannot be trusted with classified information. #ExposeHillary #Reckless https://t.co/VqjS7kePZO,"Albany, LA",neg
13,@HillaryClinton this coming from the bogus Clinton foundation?,"Las Vegas, NV ",neu
14,RT @AceRealityCheck: State Department Confirms @HillaryClinton NEVER Used Her Position For Personal Gain - https://t.co/gROTM7N3yL @StateDe,wnc,pos
15,RT @JewhadiTM: Judge: .@HillaryClinton must answer written questions from Judicial Watch about use of private emails @AP https://t.co/XO6di,Chicago,neu
16,@HillaryClinton DEMENTIA OR PARKINSON'S?  #TrumpPence2016,"North Pole, AK",neu
17,"RT @Johnatsrs1949:  @HillaryClinton ""Champion For Women""

Except For This RAPED 12 Year Old Girl

Scumbag For President? No Thanks.
. http","Cle Elum, WA",neg
18,"@ddlovato Enjoy my Parody of ""Popular"" supporting @HillaryClinton Hillary Parody Video Song https://t.co/Nb1VWVFWi3",USA,neu
19,@FoxNews @HillaryClinton Boom Daddy Sic her Trump!!!,"South Carolina, USA",neu
20,"RT @seanhannity: .@HillaryClinton blames Colin Powell for her use of private Email, Powell fires back https://t.co/xacy3Q9qcA","North Carolina, USA",neg
21,"RT @TheEllenShow: Happy birthday, @BillClinton! I hope @HillaryClinton got you some balloons. https://t.co/xIqxMSIJug",Bay Area,neu
22,RT @finnygo: #colinpowell office statement to @foxnews on @HillaryClinton https://t.co/yFLNCCQUJ3,"Providence, RI, USA",neg
23,@realDonaldTrump forgot to mention the GOP congress is to blame for the state of the country @HRC2016VOTEBLUE @donmarvin @HillaryClinton,"New York, NY",neg
24,RT @DrJillStein: I asked CNN how @HillaryClinton explains #ClintonFoundation #PayToPlay emails. Clinton campaign response: no comment https,Toronto Canada,neg
25,RT @matthewsdolan: .@realDonaldTrump going hard against @HillaryClinton on who would best represent interests of African Americans. @freep,"T: 42.735518,-84.486954",pos
26,"RT @FoxNews: .@realDonaldTrump: ""No group in America has been more harmed by @HillaryClinton's policies than African Americans."" https://t.","Tyler, TX",neu
27,RT @AceRealityCheck: 10 Things @realDonaldTrump Supporters Are Too Stupid To Realize  -https://t.co/4QHWK8RiwE #DimWitDonnie #DumpTrump @Hi,wnc,neg
28,"RT @Bikers4Trump: Happy #WorldPhotoDay to Lyin' Crooked @HillaryClinton!
#LockHerUp &amp; Join us at https://t.co/AGuHKH0S7K
#RETWEET https://t","Naples, FL",pos
29,RT @HillarysAmerica: What's going on with @HillaryClinton's health? Thats a question many people (but not the media) are asking. https://t,USA,neu
30,"RT @FoxNews: Trump: ""@HillaryClinton would rather provide a job to a refugee from overseas than to give that job to unemployed African Amer",Third stone from the sun.,neu
31,"RT @bob_owens: .@HillaryClinton There is no ""free."" You're sticking these students and their children and their children with the bill, plu","North Carolina, USA",neg
32,"@HillaryClinton #artofsuccess a new world order comes and goes,so as opportunity,  efforts must champion a rainbow focused nation of winners",Johannesburg,pos
33,@Gene_Starwind @HillaryClinton @thinkprogress  where these questions also raised when Reagan was running in this matter especially 2nd term?,Haarlem - The Netherlands,neg
34,@SenateMajLdr @SpeakerRyan @GOP @clairecmc @HillaryClinton @NancyPelosi @SenWarren @SenFeinstein @timkaine THUGS! https://t.co/HG9vbTlpW1,"Golden, CO",neg
35,RT @onlinesarcasm: .@gene70 That was sarcasm. Oh you can be the next Bill Murray! Like if you agree or Reply with #Yes or #No https://t.co/,Texas,neg
36,@hale_razor @MattMackowiak @HillaryClinton And you think EVERY foundation must make flood relief a priority?,Nosara and New York,pos
37,"Another @HillaryClinton Lie.  If all this talk is not a lie, then she is without a doublt incompetent. #Liars https://t.co/bjoVFbZUcu",United States,pos
38,Thank you @HillaryClinton for mentioning our Guru: Hillary Clinton Statement on the Passing of Pramukh Swami Maharaj https://t.co/0BIfFF709k,"Sugar Land, TX",neu
39,RT @ShaneMosley_: I would like 2 do my own honest poll. Who is voting 4 @realDonaldTrump &amp; who is 4 @HillaryClinton. @MichaelCohen212,"North Carolina, USA",neg
40,"RT @FoxNews: Trump: ""@HillaryClinton would rather provide a job to a refugee from overseas than to give that job to unemployed African Amer",United States,neu
41,"If uwant 2know who will b President that is present&amp;amongst the ppl, turn on tv, @realDonaldTrump out there daily. Where's @HillaryClinton?",San Francisco CA,neg
42,@SeamasBelfast @HillaryClinton nah. Eisenhower is bae. P.S. @billclinton gutted Glass Stegal because Alan Greenspan told him to.,Dublin,neg
43,"RT @USAneedsTRUMP: @HillaryClinton you care about Louisiana flood victims as much as you did Haiti, not at all! https://t.co/1VQ9y8iiMB","Albany, LA",pos
44,"@HillaryClinton #disingenuous

Clintons charity is to themselves - https://t.co/fUKG5n3aPu - @washtimes",Southern California,pos
45,"Retweeted Hillary Clinton (@HillaryClinton):

We know that giving millionaires huge tax breaks doesn't help our... https://t.co/XeHwxmDU7Z","San Antonio, Texas",pos
46,"@DebraMessing Hi Debra, Enjoy my Parody of ""Popular"" supporting @HillaryClinton Hillary Parody Video Song https://t.co/Nb1VWVFWi3",USA,neu
47,@TheGOPReport @Fyr_patriot @HillaryClinton Will HilLIARy be taking a nap when you need her? Trump will be there.,Chicago. IL,neu
48,"@tennyman2 @FoxNews @realDonaldTrump @HillaryClinton @POTUS Apparently you missed the $trillion Obama bill on ""not so shovel ready jobs""",Georgia ,neg
49,.@FoxNews Hooray! Finally a candidate who speaks truth to African-Americans! Not like pandering @HillaryClinton #CNN https://t.co/IbTdHccfjp,"Texas, USA",neg
50,"RT @FoxNews: Trump: ""@HillaryClinton would rather provide a job to a refugee from overseas than to give that job to unemployed African Amer",30215,neu
51,"Banned from owning guns?
@HillaryClinton should be banned from being protected by them!
#gunsense
https://t.co/R2wmOjE7Al",Hovering over your safe zone. ,neg
52,@HillaryClinton at least what he says isn't another LIE. You should just keep your mouth closed because everything out of you mouth is a LIE,"Agoura Hills, Ca",neu
53,@HillaryforOH @HillaryClinton ask her about TPP the gold standar....= job loss open your eyes!,"New Jersey, USA",neg
54,"RT @PlaysTrumpCard: 1. lol
2. #WheresHillary
3. hey @cher its not Dr. Drews fault that @HillaryClinton is literally unfit for @POTUS https:",on your timeline,pos
55,"@HillaryClinton @billclinton gift him a one way ticket out of this country &amp; go w him.  Bye Bye! 
#careercriminal #Benghazi #NeverHer #MAGA",New Jersey Proud,neg
56,@Deadhead1965 @STKnutsen @HillaryClinton @realDonaldTrump that is an excellent point!,"Knoxville, TN",neg
57,"RT @TwinmomSue: When @HillaryClinton supporters start committing hate crimes in record numbers I will be convinced that she is a bigot.
@re",in every cishet's nightmare,pos
58,@HillaryClinton Shame Hillary when your lies aren't working throw Colin Powell under the bus your lack of leadership skills begin to surface,"Lake Wales, FL",neg
59,RT @303john: @HillaryClinton cant be bothered. She is taking her blood thinners. #WheresHillary https://t.co/OU8fygarfp,Basement of The Kremlin ,pos
60,@HillaryClinton #TrumpPence2016 #SickAnd Sicker,"North Pole, AK",neu
61,"RT @FoxNews: Trump: ""@HillaryClinton would rather provide a job to a refugee from overseas than to give that job to unemployed African Amer",Ohio,neu
62,RT @machadooficial: I am proud and inspired to be american citizen.Honored and proud to be campaigning for @HillaryClinton @Hillary_esp htt,Miami-Florida,neu
63,RT @sumatrat: What do we have to lose - FREEDOM. Our actual freedom.  https://t.co/Mse78t4qON,Ferguson at Heart     ,neg
64,"RT @FoxNews: .@realDonaldTrump: ""No group in America has been more harmed by @HillaryClinton's policies than African Americans."" https://t.","Beverly Hills, CA",neu
